name	type	units
FP1	n/a	uV
FPZ	n/a	uV
FP2	n/a	uV
AF3	n/a	uV
AF4	n/a	uV
F7	n/a	uV
F5	n/a	uV
F3	n/a	uV
F1	n/a	uV
FZ	n/a	uV
F2	n/a	uV
F4	n/a	uV
F6	n/a	uV
F8	n/a	uV
FT7	n/a	uV
FC5	n/a	uV
FC3	n/a	uV
FC1	n/a	uV
FCZ	n/a	uV
FC2	n/a	uV
FC4	n/a	uV
FC6	n/a	uV
FT8	n/a	uV
T7	n/a	uV
C5	n/a	uV
C3	n/a	uV
C1	n/a	uV
CZ	n/a	uV
C2	n/a	uV
C4	n/a	uV
C6	n/a	uV
T8	n/a	uV
M1	n/a	uV
TP7	n/a	uV
CP5	n/a	uV
CP3	n/a	uV
CP1	n/a	uV
CPZ	n/a	uV
CP2	n/a	uV
CP4	n/a	uV
CP6	n/a	uV
TP8	n/a	uV
M2	n/a	uV
P7	n/a	uV
P5	n/a	uV
P3	n/a	uV
P1	n/a	uV
PZ	n/a	uV
P2	n/a	uV
P4	n/a	uV
P6	n/a	uV
P8	n/a	uV
PO7	n/a	uV
PO5	n/a	uV
PO3	n/a	uV
POZ	n/a	uV
PO4	n/a	uV
PO6	n/a	uV
PO8	n/a	uV
CB1	n/a	uV
O1	n/a	uV
OZ	n/a	uV
O2	n/a	uV
CB2	n/a	uV
HEO	n/a	uV
VEO	n/a	uV
EKG	n/a	uV
GSR	n/a	µS
Trigger	n/a	n/a
