onset	duration	sample	value
0.035016	n/a	35.016	63
2.055016	n/a	2055.016	13
3.092016	n/a	3092.016	19
3.131016	n/a	3131.016	2048
8.051016	n/a	8051.016	49
21.936016	n/a	21936.016	6
22.436016	n/a	22436.016	48
29.202016	n/a	29202.016	3
31.202016	n/a	31202.016	17
32.217016	n/a	32217.016	23
32.249016	n/a	32249.016	2048
37.220016	n/a	37220.016	49
41.936016	n/a	41936.016	2
42.436016	n/a	42436.016	48
48.486016	n/a	48486.016	8
50.488016	n/a	50488.016	14
51.500016	n/a	51500.016	20
51.534016	n/a	51534.016	2048
56.503016	n/a	56503.016	49
62.254016	n/a	62254.016	2
62.754016	n/a	62754.016	48
66.121016	n/a	66121.016	8
68.121016	n/a	68121.016	16
69.135016	n/a	69135.016	22
69.168016	n/a	69168.016	2048
74.137016	n/a	74137.016	49
78.804016	n/a	78804.016	6
79.305016	n/a	79305.016	48
83.838016	n/a	83838.016	3
85.839016	n/a	85839.016	16
86.849016	n/a	86849.016	22
86.885016	n/a	86885.016	2048
91.856016	n/a	91856.016	49
97.923016	n/a	97923.016	7
98.423016	n/a	98423.016	48
104.973016	n/a	104973.016	2
106.973016	n/a	106973.016	16
107.987016	n/a	107987.016	22
108.020016	n/a	108020.016	2048
112.989016	n/a	112989.016	49
118.740016	n/a	118740.016	6
119.240016	n/a	119240.016	48
125.208016	n/a	125208.016	3
127.213016	n/a	127213.016	12
128.224016	n/a	128224.016	18
128.255016	n/a	128255.016	2048
133.225016	n/a	133225.016	49
143.925016	n/a	143925.016	6
144.425016	n/a	144425.016	48
153.342016	n/a	153342.016	6
155.344016	n/a	155344.016	14
156.355016	n/a	156355.016	20
156.390016	n/a	156390.016	2048
161.359016	n/a	161359.016	49
168.610016	n/a	168610.016	3
169.111016	n/a	169111.016	48
172.610016	n/a	172610.016	5
174.611016	n/a	174611.016	13
175.623016	n/a	175623.016	19
175.658016	n/a	175658.016	2048
180.627016	n/a	180627.016	49
182.944016	n/a	182944.016	7
183.445016	n/a	183445.016	48
187.895016	n/a	187895.016	3
189.897016	n/a	189897.016	12
190.910016	n/a	190910.016	18
190.942016	n/a	190942.016	2048
195.911016	n/a	195911.016	49
198.678016	n/a	198678.016	3
199.178016	n/a	199178.016	48
203.480016	n/a	203480.016	7
205.479016	n/a	205479.016	15
206.493016	n/a	206493.016	21
206.526016	n/a	206526.016	2048
211.496016	n/a	211496.016	49
215.846016	n/a	215846.016	5
216.346016	n/a	216346.016	48
219.030016	n/a	219030.016	6
221.032016	n/a	221032.016	17
222.044016	n/a	222044.016	23
222.077016	n/a	222077.016	2048
227.046016	n/a	227046.016	49
231.796016	n/a	231796.016	2
232.297016	n/a	232297.016	48
234.930016	n/a	234930.016	7
236.933016	n/a	236933.016	15
237.944016	n/a	237944.016	21
237.977016	n/a	237977.016	2048
242.948016	n/a	242948.016	49
250.665016	n/a	250665.016	4
251.165016	n/a	251165.016	48
252.649016	n/a	252649.016	7
254.650016	n/a	254650.016	14
255.661016	n/a	255661.016	20
255.696016	n/a	255696.016	2048
260.665016	n/a	260665.016	49
263.299016	n/a	263299.016	5
263.799016	n/a	263799.016	48
265.099016	n/a	265099.016	5
267.099016	n/a	267099.016	17
268.114016	n/a	268114.016	23
268.146016	n/a	268146.016	2048
273.115016	n/a	273115.016	49
278.517016	n/a	278517.016	4
279.018016	n/a	279018.016	48
280.536016	n/a	280536.016	7
282.536016	n/a	282536.016	12
283.554016	n/a	283554.016	18
283.581016	n/a	283581.016	2048
288.552016	n/a	288552.016	49
292.951016	n/a	292951.016	5
293.451016	n/a	293451.016	48
294.817016	n/a	294817.016	4
296.818016	n/a	296818.016	15
297.831016	n/a	297831.016	21
297.865016	n/a	297865.016	2048
302.834016	n/a	302834.016	49
305.718016	n/a	305718.016	4
306.218016	n/a	306218.016	48
308.534016	n/a	308534.016	7
310.536016	n/a	310536.016	15
311.549016	n/a	311549.016	21
311.582016	n/a	311582.016	2048
316.552016	n/a	316552.016	49
319.185016	n/a	319185.016	6
319.687016	n/a	319687.016	48
322.386016	n/a	322386.016	6
324.386016	n/a	324386.016	12
325.399016	n/a	325399.016	18
325.433016	n/a	325433.016	2048
330.403016	n/a	330403.016	49
337.387016	n/a	337387.016	4
337.886016	n/a	337886.016	48
340.274016	n/a	340274.016	6
342.275016	n/a	342275.016	15
343.285016	n/a	343285.016	21
343.317016	n/a	343317.016	2048
348.286016	n/a	348286.016	49
350.187016	n/a	350187.016	6
350.687016	n/a	350687.016	48
